Run,DE,PSO,ABC,FA,CS,TLBO,SA,HC
1,16.798179,0.011439,1.881635,10.447187,15.286375,0.000000,19.989103,19.620050
2,14.140289,0.009850,1.704992,10.427560,15.963805,0.000000,19.904756,20.090539
3,18.642970,0.006318,1.632394,6.871180,15.272610,0.000000,20.027895,20.403021
4,19.051505,0.012280,1.407138,3.638455,12.465200,0.000000,19.898207,20.054320
5,19.428207,0.007603,0.109622,4.934400,18.501803,0.000000,20.075538,20.020304
6,16.983535,0.008729,1.309296,6.156170,17.958273,0.000000,19.846317,20.194637
7,18.099495,0.003693,0.470039,6.593595,17.828231,0.000000,19.942284,20.281582
8,17.883196,0.009144,1.802062,9.246895,17.458085,0.000000,20.003112,19.924878
9,18.112608,0.004674,0.476842,5.129462,16.072401,0.000000,20.343735,20.269307
10,18.479232,0.006137,1.914224,12.937255,14.901281,0.000000,19.223316,20.085322
11,19.125267,0.004273,1.063472,6.381498,17.924309,0.000000,19.975541,20.081172
12,17.982996,0.005601,0.273789,7.767900,16.474140,0.000000,19.263543,19.590619
13,18.965709,0.006781,0.420249,8.576719,16.643412,0.000000,19.823263,19.883545
14,19.740481,0.007669,0.628000,5.733573,15.818748,0.000000,18.794693,19.445391
15,18.398277,0.010879,0.577485,6.041804,16.111910,0.000000,20.102905,19.723376
16,18.481291,0.019234,0.278888,4.743158,15.799916,0.000000,18.553080,19.897162
17,18.006580,0.005785,0.141909,5.786054,14.244543,0.000000,18.929148,19.976084
18,17.237316,0.013278,0.727731,6.794022,14.145554,0.000000,19.430373,19.629073
19,19.903178,0.005950,1.428374,14.242042,14.871595,0.000000,18.636871,19.858746
20,18.039929,0.012137,0.909564,7.079236,15.788225,0.000000,20.008767,20.154497
21,18.717893,0.008663,1.972388,5.668247,16.195513,0.000000,19.954089,20.284251
22,19.682640,0.007918,0.735166,9.926872,17.746838,0.000000,19.326695,19.983855
23,16.242159,0.007648,1.277402,14.106705,16.646087,0.000000,17.592699,18.754207
24,18.727995,0.005944,0.439239,6.456449,15.667272,0.000000,18.763403,19.878836
25,18.700528,0.011837,2.147980,5.246256,16.624346,0.000000,20.057883,18.720103
26,15.807162,0.005459,0.364559,5.627311,16.550515,0.000000,19.117036,18.668956
27,11.407731,0.012979,0.379761,9.356804,16.856958,0.000000,19.941339,19.276785
28,16.901610,0.008137,1.027224,4.788572,16.526123,0.000000,17.834602,20.164970
29,18.742025,0.007088,0.252128,4.200237,17.216466,0.000000,19.275892,20.231482
30,16.569251,0.005453,0.527577,8.357432,17.259118,0.000000,20.089489,20.255819

STATS,DE,PSO,ABC,FA,CS,TLBO,SA,HC
Mean,17.833308,0.008419,0.942704,7.442102,16.227322,0.000000,19.490853,19.846763
Std,1.729337,0.003337,0.623613,2.764638,1.283379,0.000000,0.689091,0.458540
Best,11.407731,0.003693,0.109622,3.638455,12.465200,0.000000,17.592699,18.668956
Worst,19.903178,0.019234,2.147980,14.242042,18.501803,0.000000,20.343735,20.403021
