Run,A*,BFS,DFS,ACO
1,28.000000,22.000000,9.000000,8.000000
2,14.000000,14.000000,14.000000,5.000000
3,13.000000,32.000000,38.000000,8.000000
4,6.000000,6.000000,6.000000,7.000000
5,34.000000,26.000000,61.000000,13.000000
6,15.000000,4.000000,38.000000,4.000000
7,19.000000,23.000000,80.000000,13.000000
8,14.000000,14.000000,18.000000,5.000000
9,24.000000,25.000000,85.000000,3.000000
10,8.000000,7.000000,26.000000,7.000000
11,10.000000,10.000000,10.000000,7.000000
12,24.000000,24.000000,19.000000,12.000000
13,8.000000,8.000000,8.000000,8.000000
14,12.000000,21.000000,68.000000,14.000000
15,5.000000,5.000000,5.000000,5.000000
16,29.000000,29.000000,29.000000,3.000000
17,1.000000,1.000000,1.000000,1.000000
18,21.000000,31.000000,35.000000,9.000000
19,4.000000,4.000000,4.000000,4.000000
20,18.000000,25.000000,22.000000,4.000000
21,18.000000,16.000000,37.000000,5.000000
22,7.000000,7.000000,7.000000,5.000000
23,30.000000,4.000000,109.000000,4.000000
24,21.000000,13.000000,31.000000,7.000000
25,9.000000,9.000000,9.000000,7.000000
26,9.000000,23.000000,15.000000,4.000000
27,32.000000,25.000000,18.000000,8.000000
28,18.000000,5.000000,9.000000,4.000000
29,28.000000,28.000000,24.000000,9.000000
30,20.000000,18.000000,65.000000,6.000000

STATS,A*,BFS,DFS,ACO
Mean,16.633333,15.966667,30.000000,6.633333
Std,8.949798,9.470950,27.117030,3.146250
Best,1.000000,1.000000,1.000000,1.000000
Worst,34.000000,32.000000,109.000000,14.000000
