Run,A*,BFS,DFS
1,6.000000,40.000000,3.000000
2,2.000000,22.000000,2.000000
3,4.000000,44.000000,3.000000
4,2.000000,24.000000,2.000000
5,3.000000,34.000000,5.000000
6,8.000000,31.000000,4.000000
7,8.000000,37.000000,7.000000
8,4.000000,50.000000,4.000000
9,4.000000,32.000000,8.000000
10,5.000000,38.000000,3.000000
11,2.000000,24.000000,2.000000
12,3.000000,31.000000,3.000000
13,2.000000,20.000000,2.000000
14,10.000000,40.000000,8.000000
15,2.000000,23.000000,2.000000
16,5.000000,33.000000,3.000000
17,2.000000,19.000000,2.000000
18,5.000000,32.000000,4.000000
19,2.000000,22.000000,2.000000
20,6.000000,47.000000,3.000000
21,8.000000,45.000000,5.000000
22,2.000000,25.000000,2.000000
23,3.000000,37.000000,11.000000
24,4.000000,47.000000,5.000000
25,2.000000,17.000000,2.000000
26,7.000000,41.000000,3.000000
27,3.000000,32.000000,3.000000
28,3.000000,42.000000,3.000000
29,8.000000,44.000000,3.000000
30,6.000000,30.000000,7.000000

STATS,A*,BFS,DFS
Mean,4.366667,33.433333,3.866667
Std,2.316367,9.258090,2.217105
Best,2.000000,17.000000,2.000000
Worst,10.000000,50.000000,11.000000
