Run,GA,ACO,SA,HC,Exact (Fixed)
1,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
2,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
3,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
4,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
5,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
6,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
7,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
8,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
9,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
10,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
11,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
12,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
13,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
14,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
15,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
16,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
17,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
18,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
19,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
20,3.082361e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
21,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
22,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
23,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
24,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
25,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
26,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
27,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
28,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
29,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
30,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02

STATS,GA,ACO,SA,HC,Exact (Fixed)
Mean,3.002583e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
Std,1.481433e+00,5.684342e-14,5.684342e-14,5.684342e-14,5.684342e-14
Best,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
Worst,3.082361e+02,2.999832e+02,2.999832e+02,2.999832e+02,2.999832e+02
